               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088113,            0.022523,                   0,             0.49228,             0.48534,             0.45616,             0.20144,            0.062652,           0.0098727,                   0,           0.0033079,           0.0033079,            0.070229
                   1,            0.057036,            0.020456,                   0,             0.54765,             0.63018,             0.57853,             0.31692,             0.05117,           0.0073464,                   0,           0.0063125,           0.0063125,              0.0399
                   2,            0.050851,            0.018474,                   0,              0.7195,             0.64315,             0.71435,             0.39594,            0.051815,           0.0070302,                   0,           0.0089871,           0.0089871,           0.0092415
                   3,            0.046296,            0.018109,                   0,              0.7419,             0.70528,             0.75573,             0.45618,            0.047533,           0.0067506,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.043551,            0.017908,                   0,             0.74691,             0.70674,             0.76953,             0.48379,            0.044231,           0.0066964,                   0,            0.008515,            0.008515,            0.008515
                   5,             0.04075,            0.016986,                   0,             0.85011,             0.71701,             0.81963,             0.49602,            0.043552,           0.0061266,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.039969,            0.016488,                   0,             0.87545,             0.73314,             0.83572,             0.54399,            0.040237,           0.0059044,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.03781,            0.015802,                   0,             0.92295,             0.72141,             0.85133,             0.57248,            0.038849,           0.0058447,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.035764,            0.015901,                   0,             0.85233,             0.78152,             0.85713,             0.57452,            0.038488,           0.0057862,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.035415,            0.015368,                   0,             0.89159,             0.79592,             0.87927,               0.601,            0.036497,           0.0055467,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.034175,            0.015193,                   0,             0.91695,             0.77705,             0.88344,             0.59787,            0.035753,           0.0056001,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.033418,            0.014921,                   0,             0.85516,             0.80645,              0.8653,             0.58115,            0.036289,           0.0056149,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.032503,            0.014557,                   0,             0.91344,             0.80645,             0.89955,             0.62908,            0.034108,           0.0052301,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.031303,            0.013966,                   0,             0.90545,             0.82991,             0.90015,             0.62792,            0.033893,           0.0052297,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.031049,            0.014155,                   0,             0.88383,             0.82549,             0.89813,             0.63212,            0.033437,           0.0051716,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.030899,            0.014276,                   0,             0.87594,             0.84897,             0.90256,             0.63105,            0.033377,           0.0050826,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.029574,            0.013649,                   0,             0.93332,             0.80035,             0.90442,              0.6417,            0.032522,           0.0051327,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.028539,            0.013081,                   0,             0.92891,             0.82391,             0.91318,             0.63497,            0.032357,           0.0050806,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.028477,            0.013555,                   0,             0.92245,             0.83717,             0.91734,             0.65978,            0.031743,           0.0049901,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.027412,            0.012952,                   0,             0.91823,             0.84164,             0.91944,             0.65812,            0.032392,           0.0049742,                   0,             0.00109,             0.00109,             0.00109
